趴,趴,pā,to lie on one's stomach; to lean forward resting one's upper body (on a desktop etc)
何况,何況,hé kuàng,let alone...; to say nothing of...
爪子,爪子,zhuǎ zi,(animal's) claw
仓库,倉庫,cāng kù,depot; storehouse; warehouse
粮食,糧食,liáng shi,foodstuff; provisions
窝,窩,wō,nest; lair; den
天生,天生,tiān shēng,nature; disposition; innate; natural
推翻,推翻,tuī fān,to overthrow
策划,策劃,cè huà,to plot; to scheme; to engineer
小品,小品,xiǎo pǐn,skit; sketch; short essay
有劲,有勁,yǒu jìn,vigorous; energetic
有诗意的,有詩意的,you shī yì de,poetic
玩火,玩火,wán huǒ,to play with fire
访谈,訪談,fǎng tán,to visit and discuss; to interview
不安,不安,bù ān,unpeaceful; restless; worried
手势,手勢,shǒu shì,gesture; sign; signal
从容,從容,cóng róng,to go easy; unhurried; calm
为难,為難,wéi nán,to be in an awkward/difficult situation; to make things difficult (for someone)
发呆,發呆,fā dāi,to stare blankly; to be stunned; to be lost in thought
严实,嚴實,yán shi,(sealed) tight; close; secure
呆住,呆住,dāi zhù,to be dumbfounded; to be astonished
陵墓,陵墓,líng mù,tomb; mausoleum
密不可分,密不可分,mì bù kě fēn,inextricably linked (idiom); inseparable
无人机,無人機,wú rén jī,drone; unmanned aerial vehicle
隆重,隆重,lóng zhòng,grand; prosperous; ceremonious; solemn
遗言,遺言,yí yán,last words (before death)
记仇,記仇,jì chóu,to hold a grudge
格子,格子,gé zi,lattice; check (pattern of squares); checkered pattern
狐狸,狐狸,hú li,fox
密,密,mì,thick (w/ m)
雪橇,雪橇,xuě qiāo,sled; sledge; sleigh
哈士奇,哈士奇,hā shì qí,husky (sled dog)
外貌,外貌,wài mào,profile; appearance
品种,品種,pǐn zhǒng,breed; variety
闹着玩,鬧着玩,nào zhe wán,jestingly; in jest
录像,錄像,lùxiàng,a video
结尾,結尾,jiéwěi,ending; coda
记仇的人,記仇的人,jìchóu de rén,one who holds a grudge
没有什么理由,沒有什麼理由,méiyǒu shénme lǐyóu,there's no excuse
你使我很为难,你使我很為難,nǐ shǐ wǒ hěn wéinán,you are putting me in an awkward position
他们相关的图片,他們相關的圖片,tāmen xiāngguān de túpiàn,their respective pictures
锁地很严实,鎖地很嚴實,suǒ de hěn yánshí,locked tightly
送饭,送飯,sòng fàn,to deliver food
职业体验,職業體驗,zhíyè tǐyàn,job experience
共享办公室,共享辦公室,gòngxiǎng bàngōngshì,a shared office
让人跌破眼镜,讓人跌破眼鏡,ràng rén diē pò yǎnjìng,eye-popping; astonishing
格子间办公桌,格子間辦公桌,gézi jiān bàngōng zhuō,cubicles
